"sv" "en"
"högsta" "highest"
"kvinnorepresentationen" "of women"
"världen" "world"
"naturligtvis" "of course"
"egen" "own"
"historia" "history"
"demokratiska" "democratic"
"system" "system"
"värdigt" "dignified"
"trovärdigt" "trustworthy"
"sätt" "way"
"manifesterat" "manifested"
"årsjubileet" "anniversary"
"allmänna" "general"
"rösträttens" "suffrage"
"införande" "introduction"
"innehåller" "contains"
"fler" "more"
"vård" "care"
"fostran" "education"
"barn" "children"
"kunna" "be able to"
"fullfölja" "complete"
"samtidigt" "at the same time"
"förtroendevalda" "elected"
"mer" "more"
"representativ" "representative"
"inrymmer" "housing"
"bredare" "wider"
"erfarenheter" "experiences"
"betydelse" "meaning"
"tillgång" "access"
"ställer" "set"
"krav" "requirement"
"anpassning" "adaptation"
"arbetsformer" "working"
"avser" "intends"
"driva" "drive"
"övertygad" "convinced"
"utveckling" "development"
"jämnare" "uniform"
"fördelning" "distribution"
"året" "year"
"ökade" "increased"
"möjligheter" "facilities"
"ledamöterna" "members"
"hålla" "keep"
"kontakt" "Contact"
"medborgarna" "citizens"
"bättre" "better"
"såväl" "both"
"annat" "Other"
"sätter" "full"
"barnens" "children"
"behov" "needs"
"centrum" "Centre"
"samlas" "mass"
"situation" "situation"
"yttersta" "utmost"
"allvar" "gravity"
"medborgare" "national"
"unika" "unique"
"gemensamma" "common"
"ansträngningar" "efforts"
"finna" "find"
"breda" "broad"
"lösningar" "solutions"
"sakfrågorna" "the issues"
"gäller" "applies"
"arbets" "working"
"beslutsformer" "Decision Procedure"
"frågan" "issue"
"uppstramning" "tightening"
"budgetprocessen" "the budget process"
"ställning" "position"
"vilande" "dormant"
"grundlagsförslag" "Constitution draft"
"reformering" "reforming"
"riksdagsarbetet" "parliamentary work"
"framtiden" "future"
"erbjuder" "provides"
"goda" "good"
"utveckla" "develop"
"enligt" "according to"
"principer" "principles"
"nyss" "just"
"berört" "affected"
"snabbt" "Quickly"
"gång" "walk"
"därför" "because"
"omedelbart" "immediately"
"kalla" "call"
"gruppledarna" "group leaders"
"överläggningar" "deliberations"
"frågor" "questions"
"folkomröstning" "referendum"
"kanske" "perhaps"
"viktigaste" "main"
"tid" "time"
"svenskt" "Swedish"
"medlemskap" "membership"
"därefter" "then"
"ansvaret" "responsibility"
"förvalta" "manage"
"medborgarnas" "citizens&#39;"
"ställningstagande" "stance"
"ärade" "honorable"
"kammarledamöter" "chamber members"
"oro" "concern"
"konflikter" "conflicts"
"gränserna" "border"
"demokrati" "democracy"
"mänskliga" "human"
"rättigheter" "rights"
"viktigare" "important"
"någonsin" "ever"
"kulturarv" "heritage"
"sociala" "social"
"traditioner" "traditions"
"egenart" "individuality"
"grund" "basic"
"väl" "well"
"fylla" "fill"
"historiska" "historical"
"kammarsekreterare" "chamber secretary"
"gunnar" "Gunnar"
"valberedningen" "Nomination Committee"
"berett" "prepared"
"föredragningslista" "agenda"
"upptagna" "busy"
"valen" "elections"
"fall" "CASE"
"två" "two"
"personer" "people"
"enhälligt" "unanimously"
"ställt" "set"
"bakom" "behind"
"framgår" "clear"
"kammarens" "chamber"
"utdelad" "distributed"
"promemoria" "memorandum"
"överlämna" "submit"
"listorna" "menus"
"härefter" "hereinafter"
"företogs" "were made"
"sju" "seven"
"riksbanken" "Riksbank"
"sven" "sven"
"hulterström" "Hulterström"
"avlämnade" "delivered"
"godkänts" "approved"
"befanns" "found"
"följande" "following"
"namn" "name"
"angiven" "given"
"ordning" "order"
"upptagits" "included"
"resp" "or"
"listor" "lISTS"
"innevarande" "current"
"valperiod" "term"
"kjell_olof_feldt" "Kjell-Olof Feldt"
"statsråd" "minister"
"birgitta" "Birgitta"
"johansson" "Johansson"
"instämma" "agree"
"delen" "part"
"daleus" "Daleus"
"inlägg" "posts"
"småföretagarnas" "small entrepreneurs"
"medelstora" "medium"
"företagarnas" "entrepreneurs"
"åsikter" "opinions"
"uppfattningar" "perceptions"
"ideer" "ideas"
"tas" "is"
"anledningen" "the reason"
"inrätta" "set up"
"särskilt" "particularly"
"tillfälle" "opportunity"
"synpunkter" "comments"
"näringsdepartementet" "Industry Ministry"
"näringsministern" "Minister"
"tror" "think"
"fördel" "advantage"
"uppdelning" "division"
"precis" "just"
"säger" "says"
"bistå" "assist"
"relativt" "relatively"
"olika" "various"
"problem" "problem"
"råd" "advice"
"andra" "Other"
"inlägget" "post"
"tar" "takes"
"helt" "completely"
"fel" "wrong"
"ser" "looks"
"möjlighet" "ability"
"gisslan" "hostage"
"intresserade" "interested"
"meningslösa" "meaningless"
"sammankomster" "gatherings"
"angelägna" "anxious"
"pass" "Pass"
"människors" "human"
"anspråk" "claim"
"diskussionerna" "discussions"
"meningsfulla" "meaningful"
"låter" "allows"
"däremot" "However"
"överens" "agreed"
"utomordentligt" "extraordinarily"
"allvarligt" "seriously"
"dålig" "bad"
"industriell" "industrial"
"senaste" "last"
"vissa" "certain"
"kraftigt" "vigorously"
"fallande" "falling"
"industriinvesteringar" "industrial investment"
"minskad" "reduced"
"industriproduktion" "industrial production"
"värde" "value"
"lyssna" "listen"
"både" "both"
"större" "major"
"små" "small"
"företagens" "business"
"representanter" "representatives"
"regeringens" "government"
"ärliga" "honest"
"avsikt" "intention"
"sättet" "way"
"fram" "forward"
"politik" "policy"
"diskutera" "discuss"
"fråga" "question"
"regeringen" "government"
"lägga" "lay"
"slutligen" "finally"
"bestämma" "determine"
"politikens" "policy"
"inriktning" "alignment"
"tackar" "thank"
"utbildningsministern" "Minister of education"
"svaret" "response"
"helhjärtat" "wholeheartedly"
"sista" "last"
"egna" "own"
"högskola" "college"
"kvaliteten" "quality"
"professorerna" "professors"
"förstår" "understands"
"åsikt" "opinion"
"kvalitet" "quality"
"utvecklas" "develop"
"kritiskt" "critical"
"samtal" "Call"
"miljö" "environment"
"studenter" "students"
"lärare" "teacher"
"tillsammans" "together"
"försöker" "trying"
"framåt" "Forward"
"hängde" "hung"
"artikeln" "the article"
"uppriktig" "sincere"
"redogör" "describes"
"talat" "spoken"
"utvärdering" "evaluation"
"kvalitetssäkring" "QA"
"ena" "one"
"sidan" "page"
"säga" "say"
"å_andra_sidan" "on the other hand"
"stödja" "support"
"erfarenheterna" "experience"
"långvariga" "long"
"arbeten" "works"
"pågår" "underway"
"pågått" "been"
"många" "many"
"handlar" "is"
"just" "just"
"använder" "using"
"utvecklar" "developer"
"möjligt" "possible"
"mäta" "measure"
"internationella" "international"
"speglar" "mirrors"
"respektive" "respective"
"lands" "land"
"kopiera" "copy"
"kvalitetsutveckling" "quality"
"högre" "higher"
"utbildning" "training"
"fluga" "Fly"
"inne" "in"
"anknyta" "link"
"diskussion" "discussion"
"fördes" "was transferred"
"förra" "last"
"gången" "time"
"gjordes" "was"
"utökning" "extension"
"antalet" "number"
"universitet_och_högskolor" "universities and colleges"
"skedde" "was"
"talet" "the number"
"debatt" "debate"
"befarade" "feared"
"undermineras" "undermined"
"reform" "reform"
"diskuterar" "discusses"
"följts" "followed"
"rad" "row"
"högskolorna" "colleges"
"universiteten" "universities"
"hända" "happen"
"anser" "considers"
"kvalitetskriterier" "quality criteria"
"arbetar" "work"
"fyllest" "sufficiency"
"bör" "should"
"utvidgas" "extended"
"margitta_edgren" "Margitta edgren"
"centralt" "centrally"
"kvalitetsprogram" "quality"
"utbildningen" "training"
"självklar" "obvious"
"utbildningssystem" "education"
"sannerligen" "in deed"
"tvärtom" "on the contrary"
"tillät" "allowed"
"aning" "idea"
"formulering" "formulation"
"föreställningen" "show"
"exakt" "exactly"
"grundval" "basis"
"mätningar" "measurements"
"tilldela" "assign"
"högskolan" "College"
"uppnått" "met"
"bra" "Good"
"resultat" "results"
"godtycke" "discretion"
"högskolor" "colleges"
"pengar" "money"
"därmed" "thereby"
"bidrar" "contributes"
"skiktning" "layering"
"stället" "instead"
"motsatta" "opposite"
"lika" "equal"
"gärna" "gladly"
"vända" "turn"
"resonemanget" "reasoning"
"skolor" "schools"
"tillräckligt" "enough"
"hög" "high"
"borde" "should"
"extra" "extra"
"resurser" "resources"
"höja" "raise"
"över_huvud_taget" "at all"
"måste" "must"
"förbättra" "improve"
"förutsättningarna" "conditions"
"ute" "out"
"lärosätena" "universities"
"bedriva" "carry"
"använda" "use"
"bara" "only"
"tillägga" "add"
"utöka" "broaden"
"säkert" "securely"
"vet" "know"
"ont" "evil"
"ekvation" "equation"
"medger" "permits"
"enkel" "simple"
"lösning" "solution"
"problemet" "problem"
"nej" "No"
"område" "area"
"omdöme" "opinion"
"situationer" "situations"
"insatser" "action"
"mätinstrument" "measuring instrument"
"ställen" "sites"
"studera" "study"
"process" "process"
"försiggår" "proceeds"
"universitet" "university"
"vis" "way"
"försöka" "try"
"imponerande" "impressive"
"sker" "done"
"utifrån" "by"
"faktum" "fact"
"ändå" "still"
"sagt" "said"
"liten" "small"
"del" "part"
"resurserna" "resources"
"kopplas" "coupled"
"genomförs" "performed"
"effekter" "effects"
"omöjligt" "impossible"
"kvalitetsarbete" "quality work"
"lilla" "small"
"haft" "had"
"effekt" "effect"
"redan" "already"
"blankt" "blank"
"tiden" "time"
"riktigt" "really"
"pågående" "ongoing"
"utredningen" "investigation"
"skaffa" "get"
"kunskaper" "knowledge"
"bygger" "build"
"fördelas" "distributed"
"nödvändigtvis" "necessarily"
"osäkra" "doubtful"
"uppfattningen" "view"
"funnits" "found"
"vanföreställning" "delusional"
"alls" "at all"
"politiska" "political"
"indikationer" "indications"
"varenda" "every"
"aktivitet" "activity"
"samhället" "society"
"fördela" "distribute"
"budgetresurser" "Financial resources"
"leder" "leads"
"tagit" "taken"
"viss" "certain"
"grepp" "grip"
"processen" "process"
"hand" "hand"
"resultatet" "result"
"gör" "make"
"funderingar" "thoughts"
"aktivt" "active"
"sprider" "spreading"
"högskole" "Higher Education"
"universitetsvärlden" "academia"
"svårt" "difficult"
"lov" "permission"
"utbildningsministerns" "training Minister"
"sist" "last"
"utbildningsutskottet" "Education Committee"
"skrivelser" "letters"
"slagit" "beaten"
"fast" "fixed"
"jämställdhet" "equality"
"instämmer" "agree"
"fullständigt" "completely"
"eva" "eva"
"eriksson" "Eriksson"
"frågat" "asked"
"medverka" "contribute"
"kartlägga" "survey"
"orsaken" "cause"
"älgsjukan" "älgsjukan"
"bekämpas" "combated"
"upptäckten" "discovery"
"forskning" "research"
"bedrivits" "conducted"
"sjukdomens" "disease"
"orsaker" "causes"
"teorier" "theories"
"luftföroreningar" "air pollution"
"genetiskt" "genetically"
"betingad" "conditioned"
"nedsättning" "reduction"
"immunförsvaret" "immune"
"reda" "out"
"orsakerna" "causes"
"krävs" "required"
"fortsatt" "continued"
"kostar" "start"
"medverkan" "participation"
"behövs" "necessary"
"medel" "average"
"naturvårdsverkets" "Environmental Protection Agency"
"förfogande" "disposal"
"verkets" "Administration"
"beslutar" "decides"
"användningen" "use"
"medlen" "agents"
"särskilda" "specific"
"ansökningar" "applications"
"möjliggöra" "enable"
"studier" "studies"
"älvsborgs" "Älvsborgs"
"ökades" "increased"
"anslagen" "allocations"
"budgetår" "financial year"
"miljoner" "million"
"kronor" "SEK"
"avslutningsvis" "Finally"
"nämna" "mention"
"statens_veterinärmedicinska_anstalt" "State Veterinary Institute"
"viktig" "important"
"roll" "role"
"sva" "sulfur"
"disponerar" "disposes"
"jaktvårdsfonden" "Game Management Fund"
"tacka" "thank"
"jordbruksministern" "Minister of agriculture"
"önska" "wish"
"lycka" "happiness"
"jordbruksminister" "Agriculture"
"fortfarande" "still"
"gåta" "riddle"
"forskarna" "scientists"
"klar" "clear"
"symtomen" "symptoms"
"hos" "at"
"sjuka" "disease"
"älgarna" "elks"
"dolda" "hidden"
"mörkret" "dark"
"teorierna" "theory"
"koncentrerad" "concentrated"
"hittat" "found"
"kallas" "called"
"tillhör" "belonging to"
"familj" "family"
"hiv" "HIV"
"sjukdomen" "disease"
"orsakas" "caused"
"risken" "the risk"
"spridning" "proliferation"
"tonvikten" "focus"
"forskningen" "research"
"läggs" "added"
"klargöra" "clarify"
"tittar" "looking"
"försurningen" "acidification"
"miljöfaktorer" "environmental factors"
"spelar" "plays"
"uppkomst" "origin"
"människans" "human"
"påverkan" "impact"
"naturen" "nature"
"gett" "given"
"grogrund" "hotbed"
"risk" "risk"
"liknande" "similar"
"epidemier" "epidemics"
"även" "also"
"djurarter" "species"
"nödvändigt" "necessary"
"intressant" "interesting"
"höra" "hear"
"vikt" "weight"
"fäster" "attaches"
"öka" "increase"
"mest" "most"
"försurade" "acidified"
"området" "area"
"alldeles" "Right"
"kunskapen" "knowledge"
"mängd" "amount"
"annan" "Other"
"kunskap" "knowledge"
"frågetecken" "question mark"
"svar" "response"
"vilja" "will"
"ännu" "yet"
"västergötland" "västergötland"
"talar" "speaks"
"hör" "include"
"konstiga" "strange"
"områden" "areas"
"utsatta" "vulnerable"
"diskuterat" "discussed"
"huvudsakligen" "mainly"
"lokaliserad" "localized"
"funderat" "thinking"
"sambandet" "connection"
"beviljade" "granted"
"explicit" "explicit"
"forskningspengarna" "research money"
"användas" "used"
"uttala" "express"
"viktiga" "important"
"signal" "signal"
"handhar" "manages"
"pengarna" "the money"
"tanke" "thought"
"budgetsituation" "the budget situation"
"övrigt" "Other"
"befinner" "are"
"stå" "stand"
"utlova" "promise"
"disponera" "dispose"
"ram" "frame"
"typen" "type"
"tolka" "interpret"
"forska" "research"
"miljöförstöringen" "environmental degradation"
"signaler" "signals"
"fonden" "Foundation"
"disponeras" "appropriated"
"klarlagt" "clear"
"ökat" "increased"
"trots" "despite"
"peka" "point"
"hittar" "find"
"vägar" "ways"
"känner" "know"
"rön" "data"
"komma" "come"
"ihåg" "remember"
"givetvis" "of course"
"lokal" "local"
"anknytning" "connection"
"tänka" "think"
"starta" "start"
"lokala" "local"
"föroreningarna" "impurities"
"dessas" "their"
"glad" "Happy"
"statsministern" "Prime"
"nämner" "mentions"
"småföretagen" "small businesses"
"aviserats" "announced"
"skillnaden" "difference"
"regeringsförklaringen" "statement of Government Policy"
"lades" "partitioned"
"tyngden" "weight"
"deklarera" "declare"
"storföretagens" "big companies"
"först" "first"
"fru" "wife"
"orolig" "worried"
"samtalen" "talks"
"oroar" "worrier"
"huruvida" "whether"
"verkligt" "real"
"kraftfulla" "powerful"
"storföretagen" "big business"
"via" "via"
"näringslivsrådet" "business Council"
"tydligt" "clearly"
"inflytande" "influence"
"tog" "took"
"litet" "small"
"detalj" "detail"
"hela" "whole"
"energiöverenskommelsen" "energy agreement"
"uppenbart" "clear"
"missuppfattat" "misunderstood"
"tidpunkten" "time"
"kärnkraften" "nuclear power"
"avvecklad" "discontinued"
"nyttigt" "healthy"
"klargörande" "clarification"
"punkten" "point"
"påminna" "remind"
"miljöfrågorna" "environmental issues"
"sorterar" "sort"
"jordbruksdepartementet" "Department of agriculture"
"miljödepartementet" "Ministry of environment"
"miljöministern" "environment Minister"
"kollektivt" "collectively"
"oavsett" "regardless"
"fackminister" "skilled ministerial"
"direkta" "direct"
"gjorde" "did"
"felsägning" "slip of the tongue"
"anförande" "speech"
"anslaget" "allocation"
"faktiskt" "actually"
"fördubbling" "reduplication"
"jämfört" "compared"
"sade" "said,"
"verkligen" "really"
"erikssons" "Eriksson"
"uppfattning" "perception"
"vikten" "weight"
"prioriterar" "priority"
"naturvårdsverket" "Environmental Protection Agency"
"signalerna" "signals"
"utgöra" "form"
"offentlig" "public"
"skapa" "create"
"tryck" "pressure"
"tacksam" "grateful"
"dessutom" "also"
"margareta" "Margareta"
"winberg" "Winberg"
"understryker" "stresses"
"miljöministerns" "environment Minister"
"bord" "table"
"antar" "suppose"
"kontakter" "contacts"
"vidare" "further"
"gläder" "pleased"
"starkt" "strong"
"intresse" "interest"
"ministerns" "Minister"
"agerande" "behavior"
"emot" "against"
"framtid" "future"
"skogens" "forest"
"konung" "King"
"torsten_gavelin" "Torsten Gavelin"
"åtgärder" "measures"
"vidta" "take"
"rädda" "save"
"laxen" "salmon"
"östersjön" "Baltic Sea"
"fiskeriverket" "fisheries Agency"
"redovisade" "presented"
"maj" "May"
"vidtagits" "taken"
"skydda" "protect"
"naturreproducerande" "naturreproducerande"
"föreslog" "suggested"
"handlingsplan" "action plan"
"fortsatta" "further"
"dåvarande" "then"
"delade" "Partial"
"juni" "june"
"fiskeriverkets" "fisheries Agency"
"bedömning" "assessment"
"allvaret" "gravity"
"situationen" "situation"
"underströk" "stressed"
"behovet" "need"
"vidtas" "taken"
"densamma" "same"
"beslutade" "resolved"
"avlysa" "avlysa"
"laxfisket" "salmon fishing"
"samtliga" "all"
"älvar" "rivers"
"vild" "wild"
"lax" "salmon"
"norrbottens" "Norrbotten"
"västerbottens" "Västerbotten"
"västernorrlands" "västernorrland"
"befintliga" "existing"
"utanför" "outside"
"mötet" "meeting"
"fiskerikommissionen" "fisheries Commission"
"september" "September"
"agerade" "acted"
"kraftfullt" "strong"
"begränsning" "limitation"
"havsfisket" "sea ​​fishing"
"lyckades" "managed"
"fullt" "fully"
"gehör" "ear"
"ståndpunkterna" "positions"
"övriga" "Others"
"kommissionen" "Commission"
"dock" "though"
"rekommendera" "recommend"
"begränsas" "restricted"
"laxar" "salmon"
"tillsätta" "adding"
"särskild" "special"
"arbetsgrupp" "working"
"ordförandeskap" "presidency"
"förvaltningen" "administration"
"bedömningen" "assessment"
"understryka" "underline"
"ankommer" "arrives"
"stöd" "support"
"besluta" "decide"
"föreskrifter" "Regulation"
"skydd" "protection"
"ramen" "frame"
"fortsätta" "continue"
"verka" "act"
"uttömmande" "exhaustive"
"bakgrunden" "background"
"styrelse" "board"
"levt" "lived"
"intentionerna" "intentions"
"våras" "Last spring"
"fattades" "missing"
"beslutet" "decision"
"stopp" "Stop"
"norrlandsälvarna" "northern rivers"
"tanken" "thought"
"följas" "followed"
"totalt" "total"
"överenskommelsen" "agreement"
"kvoterna" "quotas"
"genomföras" "performed"
"förhandlingar" "negotiations"
"avsett" "intended"
"begränsats" "restricted"
"ansåg" "felt"
"beslutat" "resolved"
"ensidigt" "unilaterally"
"uppfattar" "perceive"
"orättvisa" "unfair"
"riskabel" "risky"
"utsätts" "exposed"
"obegränsat" "unlimited"
"fiske" "fishing"
"kvot" "quota"
"policy" "Policy"
"samarbetade" "collaborated"
"finland" "Finland"
"nuvarande" "current"
"återigen" "again"
"gjorts" "made"
"arbetat" "worked"
"tyvärr" "unfortunately"
"sänkning" "lowering"
"steg" "step"
"rätt" "Right"
"riktning" "direction"
"tagits" "taken"
"sägs" "said"
"tilldelade" "assigned"
"alltså" "thus"
"följt" "followed"
"lagts" "sent"
"godtagit" "accepted"
"rekommenderade" "recommended"
"laxkvoten" "salmon quota"
"bekymmer" "concern"
"ministerstyre" "ministerial rule"
"gav" "gave"
"direktiv" "directive"
"heller" "either"
"medveten" "aware"
"utfärda" "issue"
"samhälle" "Society"
"aktualiserat" "piecing"
"läge" "location"
"östersjölaxen" "Baltic salmon"
"påverkade" "affected"
"mnn" "MNN"
"stora" "large"
"bekymret" "concern"
"nästa" "Next"
"räknar" "count"
"mängden" "amount"
"nere" "down"
"läget" "position"
"väldigt" "very"
"uppfattat" "Roger"
"intentioner" "intentions"
"fullföljas" "completed"
"personligen" "personally"
"frågans" "demand"
"behandling" "treatment"
"lena" "lena"
"klevenås" "Klevenås"
"eventuellt" "possibly"
"behålla" "retain"
"jordbruk" "Agriculture"
"norra" "North"
"mellersta" "middle"
"kostnaderna" "costs"
"skattebetalarna" "taxpayers"
"ökar" "increases"
"utgångspunkt" "starting point"
"förhandlingarna" "negotiations"
"villkoren" "conditions"
"överenskommelse" "agreement"
"nås" "accessible"
"rörande" "concerning"
"tillvägagångssätt" "approach"
"metoder" "methods"
"eupolitik" "EU policy"
"slå" "beat"
"vakt" "guard"
"jordbruket" "agricultural"
"skogsområden" "forest areas"
"södra" "southern"
"öland_och_gotland" "Öland and Gotland"
"förhandlingsresultatet" "negotiated outcome"
"uppnå" "achieve"
"förutsätter" "requires"
"svensk" "Swedish"
"medfinansiering" "cofinancing"
"beroende" "dependent"
"ambitionsnivå" "ambition"
"väljer" "select"
"behandlas" "treated"
"propositioner" "propositions"
"redovisas" "reported"
"sammanhanget" "context"
"börja" "start"
"gratulera" "congratulate"
"utnämningen" "appointment"
"passa" "fit"
"broschyr" "brochure"
"orsak" "cause"
"lämna" "leave"
"eftersom" "since"
"broschyren" "brochure"
"föremål" "subject"
"eftermiddagen" "afternoon"
"minst" "least"
"nivå" "level"
"produktionen" "production"
"oförändrad" "unchanged"
"kritik" "criticism"
"motståndare" "opponents"
"framfört" "expressed"
"nämligen" "namely"
"alltför" "too"
"glättad" "gloss"
"händer" "happens"
"skattepengarna" "tax money"
"tycker" "think"
"jordbruksministerns" "agriculture Minister"
"tillfredsställande" "satisfactory"
"illa" "badly"
"medlemmar" "members"
"röstar" "vote"
"kostnader" "costs"
"miljarder" "billion"
"beräkningar" "calculations"
"handla" "act"
"omfattning" "extent"
"bönderna" "peasants"
"fem" "five"
"omställningsbidrag" "conversion premium"
"ställa" "put"
"minska" "reduce"
"överskottet" "excess"
"oecd" "OECD"
"beräknat" "calculated"
"djurbidrag" "livestock payments"
"ingick" "included"
"omställningen" "transition"
"kostat" "cost"
"tillbaka" "back"
"eujordbruksstöd" "eujordbruksstöd"
"veta" "Know"
"ingår" "includes"
"aktuellt" "current"
"böndernas" "peasants"
"därutöver" "addition"
"behöva" "need"
"arbeta" "work"
"rör" "pipe"
"energipolitiken" "energy policy"
"instrument" "instrument"
"samtala" "talk"
"förhandla" "negotiate"
"partier" "portions"
"representerade" "represented"
"organet" "means"
"punkt" "point"
"inga" "no"
"fattas" "taken"
"bakom_stängda_dörrar" "behind closed doors"
"resonera" "reason"
"företagen" "undertakings"
"besluten" "decisions"
"ingenting" "nothing"
"ske" "happen"
"nämndes" "mentioned"
"enkla" "easy"
"skälet" "recital"
"socialdemokratiska" "Socialists"
"partiet" "portion"
"opposition" "opposition"
